Sea Level,Filename,Fish Display Name,Size,Weight,Size Category,Description,Artist Credit,Writer Credit,Fish Image Alt Text Description,Speed,Position X,Position X Range,Position Y,Is Static
Surface,BigFish_WhaleShark_P,Whale Shark,13.71m,9000kg,L,"They are one of the largest fish in the ocean, but don’t let the size intimidate you, as whale sharks are one of the most docile sharks out there. Whale sharks have light armor, and the spotted pattern in their body resembles a starry sky with the exception of their belly, which is white. The size of their teeth is very small, so instead of chewing their food, they use a filter function by suctioning the water to catch their prey, which are normally plankton, krill, and algae.",P,Seeby (@stillapotatoyee),"A large Whale Shark. It has a white underside, while its top side is indigo with a cosmic, starry pattern. ",,,,,FALSE
Surface,MediumFish_Coelacanth_Lotty,Coelacanth,1.9m,89.8kg,M,"A fish once thought to be extinct but recently rediscovered to still be alive. Coelacanth are medium-sized fish and usually live at the bottom of the ocean. Some believed that they may be ancestors of tetrapods, though this was recently questioned. A lesser-known fact about coelacanths is that they are excellent at helping people’s self-esteem with the phrase “Don’t be coelaCAN’T, be coelaCAN!” They are also unable to drive most cars.",Lotty (@mitiafrapp),Chronos (@chronos1719),"A blue Coelacanth, swimming left. The fish has lighter blue spots across its body, with a medium blue base. 3 of its 5 visible fins are also this lighter blue.",0.8,,,,FALSE
Surface,MediumFish_Octopus_Solis,Octopus,1.3m,10kg,M,"Everyone's favorite well-armed tenta-cool friend. Ink-redible chromatophoric creatures with no bad bone in their body (literally as they're boneless), the octopus is clever, curious, and cheeky with commendable competency for camouflaging conjointly with corals. Blue-blooded, three-hearted, and nine-brained, this particular octopus is considered a cosmopolitan species. It can be found almost anywhere in the world!",Solis (@yencoincat),MIMI (@immimisme),"A light mint green and bright orange Octopus, looking right. It has an orange face, with the undersides and tips of its outstretched tentacles being a similar color.",,,,,FALSE
Surface,SmallFish_Angelfish_Artii,Angelfish,0.3m,0.9kg,S,"An angel of a fish, the angelfish roams the midwater zone of the ocean! This one in particular has its appearance inspired by the leader of Guild Tempus who runs his guild swimmingly. These little guys can come in almost every color of the rainbow! Angelfish will eat anything that looks good, even the slightest but tasty! Like Guild Tempus, angelfish can have their own leaders - in which there are subspecies that are referred to as Queens or Kings! They can be spotted by their distinct blue-ringed black spot on top of their heads with a speckled pattern.",Artii (@Artii),Artii (@Artii),"A light blue and purple striped Angelfish. It has pointy, translucent, light blue fins with turquoise and pink detailing at the tips.",,,,,FALSE
Surface,SmallFish_BlueSeaSlug_CTS,Blue Sea Slug,0.03m,0.1kg,S,"When at rest, blue sea slugs float without abandon away from their coastal homes for hours, their bodies absorbing the sun’s rays. However, sailors warn not to earn their ire. They’re nicknamed sea dragons for a reason. They’ve been known to aid lost ships–for a price. You can refuse their help; they won’t be insulted. Accept, and they’ll use their bioluminescent bodies to lead the way to land. Just don’t forget to pay them, or they’ll take your life as payment the next time you enter the water.",CTS (@CTS_1_),Brainy (@pinstripedoc),"A blue, monochromatic sea slug. It has stripes all across its body, including on the six star-shaped appendages attached to its sides.",0.5,,,,FALSE
Surface,SmallFish_Clownfish_Mabopoki,Clownfish,0.11m,0.2kg,S,"If this fish could talk, it’d tell you to “Keep your friends close, but your anemones closer.” One of the most iconic fish in the underwater world, they are easily characterized by their striped pattern. Clownfish have a mutualistic partnership with anemones; anemones offer protection and a place to lay their eggs, and clownfish provide the anemone with food. Because of this partnership, clownfish have evolved to have a mucus coating that makes them immune to the anemone’s defensive sting.",Mabopoki (@Mabopoki__00),olive (@zenneful),"A smiling, medium blue Clownfish. It has thick, light blue stripes across its body. Near its face, there is a mint green crystal, mimicking Altare’s armor.",,,,,FALSE
Surface,SmallFish_FlyingFish_Shiitake,Flying Fish,0.45m,0.91kg,S,"Flying fish are a family of fish known for their ability to leap out of the water and glide through the air because of their wing-like fins. Flying fish leap out of the water to escape their undersea predators, but this doesn’t keep them safe from birds catching them. They are found in every ocean, but especially in tropical areas. They have also been known to leap onto boats.",Shiitake (@Water_MizOri),Mordi (@kingcheckmate_),"An indigo and white Flying Fish. It has green eyes and translucent, light blue fins. Near its face it has a light blue design reminiscent of Altare’s armor.",,,,,FALSE
Surface,SmallFish_LeafySeadragon_Atitaru,Leafy Seadragon,0.25m,0.11kg,S,"Located off the coast of Northern Elysium, the leafy seadragon makes its home in shallow reefs, where its leaflike appendages serve as effective camouflage among the kelp and seagrasses. Instead of scales, this creature’s body is covered with jointed, armor-like plates to help protect it from predators. Although it may appear tough and bony underneath its foliage, the leafy seadragon swims with a slow grace, befitting the mythical creature it is named after.",Atitaru (@atitarucore),lighteningsky,"A Leafy Seadragon with a thin, gray-brown body. It has a long nose, and blue, leaf-like appendages sprouting from its body.",0.75,,,,FALSE
Surface,SmallFish_MoonJelly_Hana,Moon Jelly,0.31m,0.031kg,S,"If you ever see a shining, bioluminescent jelly near a shallow bay during a full moon, chances are that it is a blue moon jelly. The resilient resident of the sea’s glow serves two purposes: a.) to attract a potential mate and b.) to warn predators. Consequently, it thrives even in inhabitable waters and has an azure dome due to its main diet consisting of aquamarine slimes.  The blue moon jelly tends to be a loner, but when it joins its jelly friends, they are collectively called a bloom.",Hana (@hanxiucao__),Eevee (@eeveetheerin),"A translucent, white Moon Jellyfish. It has frilly tentacles, and an umbrella-shaped body. Around its top there is a blue, luminescent design reminiscent of Altare’s armor.",0.6,,,,FALSE
Surface,SmallFish_Nudibranch_Danchou,Nudibranch,0.31m,1.49kg,S,"The name “nudibranch” refers to about 3000 known species of undersea mollusks, but they are more commonly known as sea slugs. Because they have no shells, sea slugs have other defense mechanisms to survive, so they come in many different shapes, colors, and textures to blend into their surroundings. They often live in coral reefs, so their colors are often bright to match. Sea slugs are found in oceans all around the world.",Danchou (@SunTallulah),Mordi (@kingcheckmate_),"A blue Nudibranch/Sea Slug. It has light blue polka dots on its body, and frilly appendages attached to its back and sides. It wears a dark blue belt around its neck.",0.5,,150-500,,FALSE
Surface,SmallFish_SandDollar_Semiluminary,Sand Dollar,0.1m,0.028kg,S,"A lot of people consider them as shells, but they are more similar to urchins. A known characteristic of the sand dollar is that it has a pattern resembling a flower on both of its sides, but the specimen living in this aquarium emits a gentle blue glow through theirs. They might look fuzzy, but since they are a type of urchin, the sand dollars must be handled with care, even if they are not poisonous, as they have long spines. One could say it is the current-sea of the ocean! ",Semiluminary (@semiluminary),Seeby (@stillapotatoyee),"An orange and brown spotted Sand Dollar. It's round, with a light blue flower-like design in the center. ",0,200,,,TRUE
Surface,SmallFish_SeaBunny_Lambdadelta,Sea Bunny,0.01m,0.001kg,S,"Beguiling you with its adorable ears, the sea bunny is not an ordinary citizen of the sea. Its fluffy fur has various functions, such as acting as its sensory organs. For its main diet, it preys on sea sponges, algae, and seagrass. Thus, it mostly makes a home in tropical waters. Sounds harmless, right? Not really. Under threat, the sea bunnytare has the ability to steal the toxins of its prey and the stinging cells from the jellyfish in order to build its defense mechanism.",Lambdadelta (@ulambdadelta),Eevee (@eeveetheerin),"A blue Sea Bunny. It has long, dark blue ears, and a dark blue tail. Near its face, there are light blue shards, evocative of Altare’s armor.",0.5,500,250-950,,FALSE
Surface,SmallFish_SeaCucumber_DigitalScratch,Sea Cucumber,0.3m,1kg,S,"The sea cucumber is located within the deep seafloor in Elysium. He has a snazzy belt that all the other sea cucumbers are jealous of and glowing blue armor that helps him with predators. This little guy mostly goes with the flow unless you pick on him, then he will get so upset that he’ll have to spew out his sticky insides in defense, but his insides grow back. He usually uses his tiny tube feet to eat and shuffle along the seafloor.",DigitalScratch (@DigitScratch),Hailey (haileysscomett),"A light blue Sea Cucumber. It’s wearing a dark blue belt, and has short, diamond shaped spines along its back, with floating, blue armor shards near its face. There are white tentacles coming from its mouth.",0.5,,,,FALSE
Surface,SmallFish_Seahorse_Rokuhachi26,Seahorse,0.22m,0.0283kg,S,"The tiny seahorse may look harmless, but it’s a skilled ambush predator, using its elongated snout to inhale and consume its prey. It is rumored that a certain variant is more agile than normal and possesses luminescent plates along its body that resemble armor. This creature is also notable for its high dexterity stat; it uses its flexible tail to grasp objects, anchoring it to vegetation and helping it to navigate. Mated pairs will even be seen swimming together with tails linked.",Rokuhachi (@/Rokuhachi26),lighteningsky,"A bright red Seahorse. Along its stomach and face, it has blue, glowing armor, akin to the set Altare wears.",0.75,,,,FALSE
Surface,SmallFish_SpottedGardenEel_Aya,Spotted Garden Eel,0.41m,0.226kg,S,"These ray-finned fish craft homes by burrowing into the seafloor with pointy tails, expelling sand as they go by wiggling their dorsal fin. Once complete, they secrete slime to cement the walls. When feeding on plankton, up to 2/3 of their body may be exposed, and they can escape predators by retreating into the burrow tail first. Despite their minuscule size, spotted garden eels can have lengthy life spans of up to 40 years, so be careful if you ever insult one. You may be insulting your elder.",aya (@daru_qin),Phe (@phe_mist),"A group of blue Spotted Garden Eels, arising from a pile of sand, and looking left. They vary in color, from light blue to turquoise, with leopard-like spots.",0,300,,,FALSE
Surface,SmallFish_StripedBonito_konoha_kairi,Striped Bonito,1m,10.7kg,S,"A member of the mackerel family, this fish is often found schooling with tuna. They can travel down to depths of 165 meters (or 550 feet) in search of food. They are carnivorous, feeding on clupeoides, crustaceans, fish, and squid. Unfortunately, the striped bonito has been poorly studied by scientists, and more detailed information about this species is unknown.",Kairi (@konoha_kairi),Remorium (@CardiacFragment),"A Striped Bonito, coloured with various shades of gray. It has a small, white star pattern near its pectoral fin, as well as near its tail.",,,,,FALSE
Surface,SmallFish_Tang_Peanatsu,Tang,0.4m,2.8kg,S,"This particular tang species consumes a special kind of algae that potion makers and alchemists need for their concoctions. How it’s used or harvested from the tangs is unknown. Also, ship cooks will keep a few as pets while out at sea. Those that do always have a refreshing drink ready for the crew. Just don’t ask what the cook is doing, bringing his fish for a walk from his quarters every morning, and don’t peek in the special barrels kept in the galleys; you’ll be in for a tang-y surprise…",Nachu (@Peanatsu_770),Brainy (@pinstripedoc),"A pale blue Tang. It has stripes that gradient from light to dark blue across its flat body. Next to the dark blue spot underneath its eye, there is a cyan crystal. Its indigo fins have thin white stripes.",,,,,FALSE
Surface,SmallFish_VelellaVelella_nyanbeans,Velella Velella,0.008m,0.00000878kg,S,"This strange-looking animal is a member of class Hydrozoa, which includes the Portuguese Man O’ War, siphonophores, and some jellyfish. Each one is a colony of hydroid polyps living in its turquoise mantle. The most distinctive feature of this animal is the transparent sail atop its body, used to travel the oceans via wind. Like other Hydrozoans, it is carnivorous and feeds on plankton. While effective on prey, its tentacle sting is mostly harmless to humans, causing only redness and itching.",nyanbeans (@nyanbeans),Remorium (@CardiacFragment),"A Velella velella. It has a flat, dinner plate-like body with a white, translucent center surrounded by a dark blue outer ring, with similarly blue tentacles underneath. Along its topside, it has a transparent sailfin.",,,,,FALSE
Middle,BigFish_PhantomJellyfish_Lotty,Phantom Jellyfish,10m,Unknown,L,"This mysterious creature has only rarely been sighted, being seen about 100 times since its discovery, so not much about it is known for certain. It’s believed to use its long, flowing arms to capture prey and draw it up to its mouth, the prey most likely being plankton and small fish. This ghostly jelly is believed to live in every ocean worldwide except the Arctic Ocean.",Lotty (@mitiafrapp),Mordi (@kingcheckmate_),"A Giant Phantom Jellyfish. It has a beige, mushroom-cap-shaped body, with a red center. Attached to its body are long, thick, beige tentacles.",,,,,FALSE
Middle,BigFish_Luminousa_Danboru,Luminousa,9m,6000kg,L,"There are numerous sea creatures with unfathomable power that have lived for centuries, and the Luminousa is one of them. When its life is about to end, it transfers part of its life onto a new body, which can be found in the glowing crystal at the top. Through this ability, the fish has become wiser at detecting its predators and avoiding them. This also includes humans. However, the creature acted docile and seemed curious about the blue-haired hero visiting the aquarium.",Danboru (@danboruart),Seeby (@stillapotatoyee),"A large Luminousa. This fantasy fish has a scaly, pale blue body with a yellow, shield-like design on its pectoral fin. The tip of said fin is yellow. It has yellow crystals on its head, back, and tail fins.",,,,,FALSE
Middle,BigFish_FantasySiphonophore_VineyaMilethry_Spur,Fantasy Siphonophore Vineya Milethry,9m,50kg,L,"The Vineya Milethry is a durable creature found in the deeper parts of Elysium's seas. It uses counterillumination and takes advantage of its transparent body to camouflage and blend in with its surroundings, avoiding predators while catching prey off guard. Other creatures familiar with it can take advantage of its physiology to evade predators pursuing them, tricking them into the Siphonophore to entangle them with its tentacles and have them stung and paralyzed by the nematocysts within.",Spur (@lurkn_ssprdyllc),Jhe (@chuzuroon),"A tiny purple, jellyfish-like creature that has a long, ribbon-like purple tail with almost invisible purple streamers hanging from it.",,,,,FALSE
Middle,BigFish_SpermWhale_LampuKuroro,Sperm Whale,17.374m,44000kg,L,"Ever wonder which creature has the biggest brain? Look no further than the sperm whale (which Altventurers like to call ""beeg brain whaletare!""), who lives in communities called ""pods."" It's said that its ancestor befriended a local Elysian hero who, as a symbol of friendship, taught the creature how to sing, which is now passed on each generation. This is now known as echolocation and vocalization. This sea mammal also uses a series of clicks called ""codas'' as another communication form.",Lampu Kuroro (@lampu_kuroro),Eevee (@eeveetheerin),"A large Sperm Whale. Its body gradients from a cyan topside to a darker blue belly. Around its body, there are floating bright blue shards.",,,,,FALSE
Middle,MediumFish_Anglerfish_kinokoneko1027,Anglerfish,1.2m,50kg,M,"Similar to other deep-sea fish such as the dragonfish, one of the most notable features of the anglerfish is the rod-like appendage containing a sac of bioluminescent bacteria. Drawn in by the glow it produces, prey is lured to its unassuming death, skewered and ripped apart by the dozens of teeth decorating this fish’s jaws. However, this appendage adorns only female anglerfish, as males are much tinier in comparison and survive only by attaching themselves to mates and feeding off them.",Kinoko (@kinokoneko1027),Phe (@phe_mist),"An Anglerfish. Its body has a pastel to medium blue gradient, with a hexagonal pattern throughout. On its head, there is a bright blue, lamp-like appendage.",0.5,,,,FALSE
Middle,MediumFish_GulperEel_rota,Gulper Eel,2m,279.86kg,M,"The elusive creature is a rare sight in all of the world’s deep-sea environments. With its long-thin body and evolved dim-light photoreceptors in its eyes, it’s adopted a sit-and-wait predation. It lures small fish and invertebrates by emitting its glowing scales on its tail end as they flash from pink to red. When its prey is close enough, it uses its umbrella-like mouth to vacuum and swallow its prey whole. Humans are not on its list of prey.",Rota (@mxsseschibi),Zen (@Zendria000),"A dark indigo Gulper Eel. It has bright blue and yellow fins running along its long, thin body. Near its pink, open mouth, it has blue, translucent armor, similar to Altare's.",,,,,FALSE
Middle,MediumFish_SlaphappyJellyfalse_Fluor,Slaphappy Jellyfalse,1.3m,2.4kg,M,"The slaphappy jellyfalse is an Elysian coastal fish. Its tail, which resembles a jellyfish, allows it to stealthily hunt prey and ward off predators of fish. The tail is not merely an imitation: its tendrils contain a numbing toxin that it uses on its prey. However, it is still vulnerable, as the toxin is useless against predators of jellyfish. The tail tastes like fruit, so it is often made into drinks or desserts and served alongside the fish portion, which is grilled with spices.",Fluor (@FluorArt),Fluor (@FluorArt),"A bright yellow Slaphappy Jellyfalse. This fantasy creature has a dome-shaped jellyfish body, with attached tentacles that hide a striped, mustard coloured fish with sharp teeth.",,,,,FALSE
Middle,MediumFish_ViperDogfish_DigitalScratch,Viper Dogfish,0.6m,1.3kg,M,"Despite the name, the dogfish are sharks! They have a distinctive tooth structure, as their teeth look similar to fangs with wide gaps in between. One of the unique dogfish’s features is missing a specific muscle that would help pull forward the jaw when they are going after prey. Instead, they have a hyomandibular bone. This bone swings down and forward to compensate for the muscle and ends up working even better for the dogfish as they can move their jaws vertically and horizontally.",DigitalScratch (@DigitScratch),Dhol (@dholwrites),"A black Viper Dogfish. It has black horns on its head and bright blue eyes. Inside its open mouth, its upper jaw bone is detached from its upper lip.",,,,,FALSE
Middle,MediumFish_Chimaera_irisnoira,Chimaera,1.5m,2.25kg,M,"Ghosting Arctic and Antarctic waters, the mysterious Chimaera can be found swimming across all other oceans. This spectral deep ocean dweller is also known as the ghost shark despite not actually being a shark. The ghost in their name stems from the way they propel themselves in the water with wing-like pectoral fins. They do have a cuter name, though—rabbit fish. Maybe Buntare would know more about this cartilaginous enigmatic deep-sea fellow…?",Irisnoira (@chococattail),MIMI (@immimisme),"A silver Chimaera. It has a thin, bright blue stripe running across its body. The tips of its fins are a similar, fluorescent blue color. Near its eye, it has blue, crystalline shards.",,,,,FALSE
Middle,MediumFish_GrenadierFish_wiindouw,Grenadier Fish,2.1m,2.49kg,M,"Grenadiers are a subfamily of fish that have large heads and eyes with thinner bodies and tails, giving them the nickname “rattails.” Because of the deep, dark water they live in, their eyes are this large to help them see their bioluminescent prey. Some species have their own bioluminescent lights on their bodies. Many species are thought to live over fifty years. Grenadiers are commonly served as seafood.",wiindouw (@wiindouw_),Mordi (@kingcheckmate_),"A bright cyan Grenadier Fish. The tips of its fins are indigo, with similarly coloured designs near its face, and part-way down its long, thin body.",,,,,FALSE
Middle,SmallFish_DumboOctopus_Tootles,Dumbo Octopus,0.25m,3.58kg,S,"Deep in the heart of the Elysian Ocean lives one of the shyest altventurer slimes: the dumbo octopus named the slimebo. Denizens say it used to be a land slime that yearned to swim. Thus, after hundreds of years, its tentacles evolved to be connected by a web of skin resembling an umbrella, and it developed a membrane that protects its body from dissolving in the water. Another folklore cited its distinct belt to be similar to that of a local Elysian hero, using this body part to find its kind.",Tootles (@tootlini),Eevee (@eeveetheerin),"A Deep-Sea Dumbo Octopus. Its body is mostly white, with its floppy, ear-like fins and tentacles having a red gradient. It has a blue belt tied around its body.",,,,,FALSE
Middle,SmallFish_FangtoothFish_Rokuhachi,Fangtooth Fish,0.15m,0.226kg,S,"True to its name, the fangtooth fish sports an intimidating pair of chompers. Despite their intimidating predatory appearance, fangtooth fish are no real threat to humans due to their size. Instead, they prey on a variety of small fish and squid. Now, if you had to make a bet on who the vampire lord of the sea was, who would you bet on? The fangtooth fish or the vampire squid? Fun fact: in order for fangtooth fish to close their mouths, they’ve evolved to have special pouches.",Rokuhachi (@Rokuhachi26),olive (@zenneful),"A blue and green Fangtooth Fish. It has a triangular pattern on its face, and sharp white teeth. Along its tear-shaped body, there is a luminescent, cyan stripe. Its fins gradient from turquoise  to translucent.",,,,,FALSE
Middle,SmallFish_CookiecutterShark_Juiceman,Cookiecutter Shark,0.5m,4.5kg,S,"One of the smallest sharks that live in the depths of the sea in Elysium. Their upper teeth are sharp and triangular, while their lower teeth are chunks of flesh, which allow them to easily scoop pests attacking marine sustainability. Because they live in the depths of the sea, their green-white eyes are able to light up through the dark sea. Even though they have sharp teeth, they are not dangerous because they tend to be shy and prefer to help protect the sea of Elysium from monsters.",JUICE MAN (@JUICCBOX),pipioneru (@hy0shiku),"A blue Cookiecutter shark. Towards the tips of its pectoral and tail fins, it goes from bright blue to a darker periwinkle. It has downturned eyebrows and an open, frowning mouth.",,,,,FALSE
Middle,SmallFish_FireworkJelly_Niki,Firework Jelly,0.6096m,Unknown,S,"A denizen of near sunless waters, this jellyfish can’t be seen without the aid of light. Once illuminated, it looks like a firework frozen in time, its very poisonous and thin tendrils glowing brilliantly away from its body. Sightings of this jellyfish are very rare for one big reason: when it feels threatened, it releases a charge that can break the sound barrier and sends out a concussive wave that can be felt even on the surface. Caution is highly suggested if more than one is encountered.",Niki (@_Ssunburst__),Brainy (@pinstripedoc),"A Halitrephes, or Firework Jellyfish. It has a bright blue, dome shaped body, with tentacles that gradient from pink, to maroon, to cherry red.",0.5,,,,FALSE
Middle,SmallFish_Hatchetfish_ChocoMilkTea,Hatchetfish,0.0635m,0.056kg,S,"A fish with a hatchet-shaped body, which they use to jump out of the water to catch small insects. There are at least two types of hatchet fish, such as freshwater and marine. If you want to know more, I recommend you ""axe"" a marine biologist. Also, like most fish, they are unable to drive cars or operate heavy machinery.",ChocoMilkTea (@ChocoMilkTeaYT),Chronos (@chronos1719),"A Hatchetfish. Its body and pectoral fins are pastel blue, with leaf green dorsal, underside, and tail fins.",,,,,FALSE
Middle,SmallFish_Flashlight Fish_Sharialene22,Flashlight Fish,0.1524m,0.056kg,S,"The flashlight fish may be small, but it is fierce and beautiful. Its unique bioluminescent markings make up an armor-like defense against other less-friendly fish, confusing them by “turning the lights out” and becoming invisible in the sea gloom. The flashlight fish is nocturnal, conducting most of its activities in the dark of night (like a totally-normal 3 am walk!). Its light is useful in guiding its kin through the darkest caves, like a little hero! ",HanHan (@sharialene22),mochii (@mochiismo),"A Flashlight fish. It has a medium blue body, with a darker blue face. Under its eye it has a light blue spot, with similar spots in a line across its body. Its striped fins gradient from light to dark blue.",,,,,FALSE
Middle,SmallFish_Dragonfish_Mikan3rd,Dragonfish,0.08m,0.015kg,S,"The size and weight of these fish vary with species, yet the smallest are born with no teeth or stomach, preventing them from eating and, by extension, living long lives. One of the dragonfish's most unique features is its chlorophyll-filled eyes, which no other creature is known to hold. Another notable trait is the luminescent lure hanging from its chin, used to entice prey. Considering how often we're told to go toward the light, it's a good thing we're too large for them to eat…",Mikan3rd (@fh_pocket),Phe (@phe_mist),"A small, black Dragonfish. It has white whiskers. Its fins have a red to blue gradient, with a blue design near its tail fin that is reminiscent of Altare's armor.",,,,,FALSE
Middle,SmallFish_Eelpout_CTS,Eelpout,0.4953m,3.17kg,S,"The Eelpout are a species of fish that reside deep in the ocean and are known for their speed. Researchers do not have much information about them, but they possess a unique glow-in-the-dark pattern similar to that of a certain guild leader. They can turn this pattern off to hide themselves from predators and ambush other species as a pack. The Eelpout have also been observed to lay eggs and protect their offspring. Despite their name and appearance, they are NOT related to eels at all.",CTS (@CTS_1_),Lambdadelta (@ulambdadelta),"A brightly coloured Eelpout. The top of its long body is a medium blue, with a purple underside. Its fins and eyes are orange. Near its middle, there is a cyan design, evocative of Altare's armor.",,,,,FALSE
